"COU","Country","SEX","Sex","IND","Indicator","YEAR","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"NLD","Netherlands","TOTAL","Total","FAM1","Total fertility rate","1975","1975","CHLD","Children","0","Units",,,1.66,,
"NLD","Netherlands","TOTAL","Total","FAM1","Total fertility rate","1976","1976","CHLD","Children","0","Units",,,1.63,,
"NLD","Netherlands","TOTAL","Total","FAM1","Total fertility rate","1977","1977","CHLD","Children","0","Units",,,1.58,,
"NLD","Netherlands","TOTAL","Total","FAM1","Total fertility rate","1978","1978","CHLD","Children","0","Units",,,1.58,,
"NLD","Netherlands","TOTAL","Total","FAM1","Total fertility rate","1979","1979","CHLD","Children","0","Units",,,1.56,,
"NLD","Netherlands","TOTAL","Total","FAM1","Total fertility rate","1980","1980","CHLD","Children","0","Units",,,1.6,,
"NLD","Netherlands","TOTAL","Total","FAM1","Total fertility rate","1981","1981","CHLD","Children","0","Units",,,1.56,,
"NLD","Netherlands","TOTAL","Total","FAM1","Total fertility rate","1982","1982","CHLD","Children","0","Units",,,1.5,,
"NLD","Netherlands","TOTAL","Total","FAM1","Total fertility rate","1983","1983","CHLD","Children","0","Units",,,1.47,,
"NLD","Netherlands","TOTAL","Total","FAM1","Total fertility rate","1984","1984","CHLD","Children","0","Units",,,1.49,,
"NLD","Netherlands","TOTAL","Total","FAM1","Total fertility rate","1985","1985","CHLD","Children","0","Units",,,1.51,,
"NLD","Netherlands","TOTAL","Total","FAM1","Total fertility rate","1986","1986","CHLD","Children","0","Units",,,1.55,,
"NLD","Netherlands","TOTAL","Total","FAM1","Total fertility rate","1987","1987","CHLD","Children","0","Units",,,1.56,,
"NLD","Netherlands","TOTAL","Total","FAM1","Total fertility rate","1988","1988","CHLD","Children","0","Units",,,1.55,,
"NLD","Netherlands","TOTAL","Total","FAM1","Total fertility rate","1989","1989","CHLD","Children","0","Units",,,1.55,,
"NLD","Netherlands","TOTAL","Total","FAM1","Total fertility rate","1990","1990","CHLD","Children","0","Units",,,1.62,,
"NLD","Netherlands","TOTAL","Total","FAM1","Total fertility rate","1991","1991","CHLD","Children","0","Units",,,1.61,,
"NLD","Netherlands","TOTAL","Total","FAM1","Total fertility rate","1992","1992","CHLD","Children","0","Units",,,1.59,,
